Trait,CV1_Split1,CV1_Split2,CV1_Split3,CV1_Split4,CV1_Split5,CV2_Split1,CV2_Split2,CV2_Split3,CV2_Split4,CV2_Split5,CV3_Split1,CV3_Split2,CV3_Split3,CV3_Split4,CV3_Split5,CV4_Split1,CV4_Split2,CV4_Split3,CV4_Split4,CV4_Split5,CV5_Split1,CV5_Split2,CV5_Split3,CV5_Split4,CV5_Split5
Acidity,573,604,565,565,572,578,582,599,544,576,562,576,589,559,593,559,573,581,559,607,599,568,565,576,571
Color_over,2039,2067,2063,2069,2079,2030,2063,2061,2095,2068,2081,2066,2069,2077,2024,2033,2097,2066,2056,2065,2055,2071,2021,2098,2072
Firmness,598,608,594,581,599,609,579,618,599,575,583,594,611,562,630,598,588,590,597,607,587,577,613,621,582
Flowering_begin,2362,2324,2317,2365,2362,2363,2322,2344,2324,2377,2334,2347,2306,2378,2365,2360,2356,2311,2366,2337,2360,2350,2337,2337,2346
Flowering_intensity,2409,2431,2406,2419,2410,2432,2410,2400,2401,2432,2417,2408,2385,2440,2425,2430,2410,2386,2428,2421,2415,2422,2408,2404,2426
Fruit_number,2491,2512,2433,2529,2496,2491,2454,2497,2488,2531,2450,2508,2510,2494,2499,2499,2515,2476,2449,2522,2528,2464,2471,2504,2494
Fruit_weight,2475,2471,2425,2493,2478,2447,2480,2470,2458,2487,2421,2497,2453,2476,2495,2470,2484,2459,2459,2470,2487,2485,2443,2486,2441
Fruit_weight_single,2502,2480,2394,2492,2450,2470,2434,2497,2447,2470,2445,2489,2502,2455,2427,2467,2484,2438,2466,2463,2483,2482,2419,2479,2455
Harvest_date,2485,2500,2431,2518,2494,2474,2461,2484,2487,2522,2456,2507,2479,2485,2501,2501,2495,2475,2453,2504,2525,2455,2472,2495,2481
Russet_freq_all,1958,1972,1910,1941,1977,1926,1956,1976,1961,1939,1946,1975,1962,1953,1922,1941,1952,1944,1962,1959,1930,1977,1940,1990,1921
Sugar,585,609,600,581,599,596,579,623,587,589,577,571,626,584,616,576,603,605,574,616,620,572,599,592,591
